commanded position, signed delta, theoretical position, actual position, error
1.367, -5.33, 1.37,1.5224,0.1554
1.61802, -0.25, 1.62,1.4676,-0.15042
4.41251, 2.79, 4.41,4.41,-0.00251
1.04506, -3.36, 1.05,1.2024,0.15734
-0.47949, 1.53, -0.48,-0.48,0.00051
-7.77931, 7.3, -7.78,-7.78,0.00069
3.01539, -10.8, 3.02,2.8676,-0.14779
-0.2144, -3.23, -0.21,-0.0576,-0.1568
-3.47232, 3.26, -3.47,-3.47,-0.00232
9.45538, -12.93, 9.46,9.3076,-0.14778
2.38051, -7.08, 2.38,2.5324,0.15189
-2.26197, 4.64, -2.26,-2.26,-0.00197
-9.03268, 6.77, -9.03,-9.03,-0.00268
-4.42127, -4.61, -4.42,-4.5724,0.15113
-5.24969, -0.83, -5.25,-5.0976,-0.15209
-6.65998, 1.41, -6.66,-6.66,2E-05
0.16058, -6.82, 0.16,0.0076,-0.15298
-2.14522, -2.31, -2.15,-1.9976,-0.14762
8.53244, -10.68, 8.53,8.3776,-0.15484
-0.65824, -9.19, -0.66,-0.5076,-0.15064
0.8653, -1.53, 0.87,0.7176,-0.1477
-7.00011, -7.87, -7,-6.8476,-0.15251
2.98145, -9.98, 2.98,2.8276,-0.15385
-7.32021, -10.3, -7.32,-7.1676,-0.15261
-7.69277, 0.37, -7.69,-7.69,-0.00277
-3.34269, -4.35, -3.34,-3.4924,0.14971
-5.82373, -2.48, -5.82,-5.6676,-0.15613
0.55478, -6.37, 0.55,0.3976,-0.15718
4.51078, 3.96, 4.51,4.51,-0.00078
-4.79625, -9.31, -4.8,-4.6476,-0.14865
-9.28756, 4.49, -9.29,-9.29,0.00244
0.37435, -9.66, 0.37,0.2176,-0.15675
-4.27424, -4.64, -4.27,-4.1176,-0.15664
0.79403, -5.06, 0.79,0.6376,-0.15643
8.14806, 7.36, 8.15,8.15,0.00194
-9.05378, -17.2, -9.05,-8.8976,-0.15618
-5.42204, -3.63, -5.42,-5.5724,0.15036
1.87215, 7.29, 1.87,1.87,-0.00215
3.88426, 2.01, 3.88,3.88,-0.00426
7.23031, 3.35, 7.23,7.23,-0.00031
-5.44106, -12.67, -5.44,-5.2876,-0.15346
7.19296, -12.63, 7.19,7.0376,-0.15536
2.69688, -4.49, 2.7,2.8524,0.15552
8.95746, -6.26, 8.96,8.8076,-0.14986
3.75994, -5.2, 3.76,3.9124,0.15246
-6.3096, 10.07, -6.31,-6.31,0.0004
4.1005, -10.41, 4.1,3.9476,-0.1529
-0.60306, -4.7, -0.6,-0.4476,-0.15546
-5.4716, 4.87, -5.47,-5.47,-0.0016
5.34621, -10.82, 5.35,5.1976,-0.14861
-0.76807, -6.12, -0.77,-0.6176,-0.15047
-2.66411, 1.89, -2.66,-2.66,-0.00411
-4.74769, 2.09, -4.75,-4.75,0.00231
-8.09548, 3.35, -8.1,-8.1,0.00452
2.62881, -10.73, 2.63,2.4776,-0.15121
4.47943, 1.85, 4.48,4.48,0.00057
6.75766, 2.28, 6.76,6.76,0.00234
-4.48995, -11.25, -4.49,-4.3376,-0.15235
-3.54889, -0.94, -3.55,-3.7024,0.15351
-7.35531, -3.81, -7.36,-7.2076,-0.14771
